,Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Gender,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers,candidate_brand,specifiers,label
30898,20120829-622B6-2147464278,8/29/2012,9/6/2012,9/27/2012,Consumer,IKEA Antilop high chair with detachable tray (red chair with white tray),Baby,Nursery Equipment & Supplies,High Chairs (1555),1555,"IKEA North America Services, LLC",IKEA,Antilop,,,,,IKEA,North Carolina,4/1/2010,Yes,"I have already notified IKEA about an accident I had with one of its Antilop high chairs with tray.  

When feeding my son yesterday, I rested my elbows on the tray attached to my IKEA Antilop high chair, and the tray popped off hitting me violently in the face and slicing my nose by the small pointed (and very sharp) piece that hooks the tray into the high chair itself.  I do know that there was already a recall on these high chairs for an unrelated issue, and I am appalled to learn the hard way of this newest safety concern.  I am so very thankful that my child was not injured -- it could have been a grave injury to someone so little, including a very serious eye injury that could have blinded him based on where it hit me.
This is a serious matter, that I sincerely hope will get the attention it deserves before a child is maimed, or worse.
Sincerely,
 
[REDACTED]",Lincolnton,North Carolina,28092,Home/Apartment/Condominium,"Injury, First Aid Received by Non-Medical Professional",Female,Self,37,Yes,,,,,Yes,,I still have it for evidence; although I won't ever feel safe using it again.  I emailed IKEA already with a detailed explanation and the same photos.,"(9/7/2012) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['IKEA', 'IKEA North America Services, LLC']","['IKEA', 'REDACTED']",8682
31040,20120818-CF797-2147464603,8/18/2012,8/30/2012,9/21/2012,Consumer,IKEA hard plastic crib teething rail protector,Baby,Nursery Equipment & Supplies,Nonportable Cribs (1543),1543,"IKEA North America Services, LLC",IKEA ,,,,,,IKEA,Texas,5/7/2011,Yes,"I had IKEA hard plastic crib rail protectors on my 10.5 month old baby's crib.  He was chewing/biting on the crib rail and ""caught"" the edge of the hard plastic protector with his teeth pulling it up from the rail slightly and cutting his gum/lip.  I was using the product as it was intended; the edge of the rail protector is easy for a teething baby to 'hook' his or her teeth into and the plastic is very thin and sharp.  This is an unsafe product.",Weslaco,Texas,78596,Home/Apartment/Condominium,"Injury, First Aid Received by Non-Medical Professional",Male,My Child,0,Yes,No,,,No,No,Yes,"I still have the IKEA crib rail protectors, but I have removed them from the crib.  I do plan to inform IKEA of their unsafe product.","(9/7/2012) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['IKEA ', 'IKEA North America Services, LLC']","['10.5', 'IKEA']",0
31130,20120813-44CFD-2147464820,8/13/2012,8/28/2012,9/19/2012,Consumer,"I arrived to my office monday morning to find that my desk had shattered over the weekend.  The tempered glass pieces were all over my office.

The model number is 598.387.52","Furniture, Furnishings & Decorations",Furniture,"Desks, Chests, Bureaus or Buffets (604)",604,"IKEA North America Services, LLC",Galant,"GALANT Desk 63"" by 31 1/2 "" model # 598.387.52",,,,,"ikea, new haven",,1/3/2011,Yes,My ikea glass desk shattered over the weekend.  ,Stamford,Connecticut,6901,Other Public Property/Office,"Incident, No Injury",Unspecified,Unspecified,,Yes,No,,,No,No,Yes,I am keeping the broken pieces until I contact IKEA.,"(9/7/2012) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['Galant', 'IKEA North America Services, LLC']",['598.387.52'],0
31309,20120814-8DCAC-2147464753,8/14/2012,8/21/2012,9/12/2012,Consumer,"A folding chair manufactured by IKEA with the product name ""Jeff"" and the color of the chair is white.","Furniture, Furnishings & Decorations",Furniture,Beach Chairs or Folding Chairs (4016),4016,"IKEA North America Services, LLC",IKEA,Jeff/ folding chair ,,,,,Ikea,,,,I was in the process of sitting down on a folding chair made by ikea.  My finger was happened to get caught in the back of the folding chair and resulted in me having to receive 4 stitches.  The chair itself is a folding chair manufactured by IKEA with the product name Jeff.  It is extremely dangerous to anyone as the device can turn into a makeshift guillotine that has the ability to cut off your finger entirely.,Pittsburgh,Pennsylvania,15102,Other,"Injury, Seen by Medical Professional",Male,Self,27,,,,,,No,Yes,"I have attempted to find a way to contact them on their website but there seems to be no way to email anyone within their company.  There is a number to call, however, I would like to retain a copy of our conversation for myself.","(8/23/2012) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['IKEA', 'IKEA North America Services, LLC']",['IKEA'],0
31474,20120812-48E23-2147464825,8/12/2012,8/20/2012,9/4/2012,Consumer,IKEA glass plate,Kitchen,Cookware & Tableware,"Tableware & Accessories (excluding drinking glass,cups,mugs) (474)",474,"IKEA North America Services, LLC",ikea,18314,302.160.27,,,,ikea,New Jersey,8/6/2012,,I bought a plate from Ikea and it suddenly exploded and shattered into hundreds of pieces in my kitchen cabinet ,bronx,New York,,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,Yes,No,,,No,No,Yes,i have more of these plates in my home,"(8/22/2012) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['ikea', 'IKEA North America Services, LLC']",['IKEA'],0
31623,20120730-CAF62-2147465241,7/30/2012,8/10/2012,8/24/2012,Consumer,"Ikea TORSBY Dining table, chrome plated, glass white
Article Number: 198.929.39

Length: 70 7/8 ""
Width: 33 1/2 ""
Height: 29 1/8 ""
Length: 180 cm
Width: 85 cm
Height: 74 cm","Furniture, Furnishings & Decorations",Furniture,"Tables (Excl.  Baby Changing Tables, Billiard or Pool Tables (4057)",4057,"IKEA North America Services, LLC",Ikea,198.929.39,,,,,Ikea store,California,1/1/2009,Yes,This Ikea Torsby's glass top shattered in the middle of night when everybody were sleeping (nobody was using it). The event resulted a massive damages on the items were on the table and occurred many minor injury on two people when cleaning it.,San Francisco ,California,94105,Home/Apartment/Condominium,"Injury, No First Aid or Medical Attention Received",Male,Self,25,Yes,No,,,No,Yes,,The base frame is still usable and I have emailed weeks ago the manufacture but have not gotten responds yet,"(8/15/2012) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['Ikea', 'IKEA North America Services, LLC']","['29', '70', '85', 'TORSBY', '33', '198.929.39', '74', '180']",0
31661,20120712-BB577-2147465752,7/12/2012,8/2/2012,8/23/2012,Consumer,"Ikea ""Orgel"" desk lamp","Furniture, Furnishings & Decorations",Indoor Lighting,"Floor Lamps or Table Lamps, Electric (Excl Halogen) (4071)",4071,"IKEA North America Services, LLC",Ikea Orgel,"Ikea ""Orgel"" desk lamp",,,,,Ikea,California,,Yes,"Received electric shock from on-off chain of my Ikea ""Orgel"" desk lamp, while pulling it down to turn it on [my fingers were somewhat wet].",Berkeley,California,94707,Home/Apartment/Condominium,"Injury, Level of care not known",Male,Self,65,,,,,,,,,"(8/7/2012) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['Ikea Orgel', 'IKEA North America Services, LLC']",[],0
31835,20120704-95916-2147466016,7/4/2012,7/31/2012,8/14/2012,Consumer,"IKEA Galant table top, glass, used as study desk, no computer or other very heavy objects on top","Furniture, Furnishings & Decorations",Furniture,"Tables (Excl.  Baby Changing Tables, Billiard or Pool Tables (4057)",4057,"IKEA North America Services, LLC",IKEA,Galant glass table top,80147282,,,,IKEA,,3/2/2012,,"The IKEA glass table top spontaneously exploded in my daughter's room at 1:50 AM while she was sleeping. Glass pieces flew everywhere, including on top of the bed, which was about the same height as the table, making it evident that the glass top did not simply fall and shatter. Pieces of glass continued to explode even after they hit the ground. The legs and frame of the table were completely fine and still standing. IKEA Houston customer service claims that they have never heard of this problem before and that there is nothing wrong with their product. They refused to give a refund or exchange.",Houston,Texas,,Home/Apartment/Condominium,"Incident, No Injury",Female,My Child,,No,No,,,No,Yes,,IKEA refused to give a refund or exchange. They did not take responsibility for the explosion.,"(8/1/2012) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['IKEA', 'IKEA North America Services, LLC']","['AM', 'IKEA', '50']",0
31876,20120711-0F1C5-2147465784,7/11/2012,7/27/2012,8/10/2012,Consumer,"Product dimensions
IKEA Billy Morebo Glass Door
Frame: Aluminum
Glass panel: Tempered/safety glass
Door panel: Fiberboard, Foil 
Width: 15 3/4 ""
Height: 37 3/4 ""

Width: 40 cm
Height: 96 cm","Furniture, Furnishings & Decorations",Storage & Organization,"Cabinets, Racks, Room Dividers and Shelves, Nec (4056)",4056,"IKEA North America Services, LLC",Billy Morebo,Billy Morebo Glass Door,,,,,IKEA,,,Yes,Tempered glass door exploded.,Burlingame,California,94010,Home/Apartment/Condominium,"Incident, No Injury",Male,My Child,11,Yes,No,,,No,No,Yes,will try to get a refund or exchange,"(8/2/2012) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['Billy Morebo', 'IKEA North America Services, LLC']","['IKEA', '15', '37', '96', '40']",0
31984,20120705-5352C-2147465979,7/5/2012,7/19/2012,8/2/2012,Consumer,"Metal shelf for a 49"" corner cabinet. Product name is Rationell. Shelf swivels on a metal hinge, and then slides out on a metal rail.","Furniture, Furnishings & Decorations",Storage & Organization,"Cabinets, Racks, Room Dividers and Shelves, Nec (4056)",4056,"IKEA North America Services, LLC",Rationell Pull-Out Shelf,"Rationell Pull-Out Shelf for 49"" Corner Cabinet",,,,,Ikea,,5/1/2010,,"The issue relates to an Ikea Rationell pull-out shelving system for a 49 inch kitchen corner cabinet. It's been installed in my home for about 2 years, and I've noticed a buildup of metal shavings directly underneath the hinges where the shelf connects to the cabinet. In the case of the upper shelf, the metal dust has been falling on the food utensils on the lower shelf, which means we've been ingesting small amounts of metal shavings over the past couple of years. I've notified Ikea, but they are not interested in pursuing the issue.",Pleasant Hill,California,94523,Unspecified,"Incident, No Injury",Male,Self,45,Yes,,,,,Yes,,"Ikea says if I produce shelf and receipt, they may consider giving a replacement. Otherwise, they are not interested in pursuing the matter.","(7/24/2012) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['IKEA North America Services, LLC', 'Rationell Pull-Out Shelf']",['49'],0
32128,20120702-C7E3F-2147466068,7/2/2012,7/11/2012,7/25/2012,Consumer,Antilop high chair supplier number 17389 manufactured 8/2010,Baby,Nursery Equipment & Supplies,High Chairs (1555),1555,"IKEA North America Services, LLC",Antilop,"Antilop High Chair, Supplier Number: 17389",17389,,8/5/2010,8/10,Ikea,Michigan,,Yes,My child almost fell out of her IKEA Antilop chair.  I caught her as she was falling. The restraint buckle opened and that is how she stood up and fell out.  We noticed the strap opening several times after that and we stopped using the chair. ,solon,Ohio,44139,Home/Apartment/Condominium,"Incident, No Injury",Female,My Child,1,Yes,No,,,No,Yes,,They had a recall but are telling me they are out of the replacement restraints,"(7/24/2012) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['Antilop', 'IKEA North America Services, LLC']","['17389', '2010', 'IKEA']",8682
32839,20120525-09762-2147467275,5/25/2012,6/4/2012,6/18/2012,Consumer,Ikea Galant Desk with glass top and chrome A- legs.  Glass top was aproximately 32 * 66 inches,"Furniture, Furnishings & Decorations",Furniture,"Desks, Chests, Bureaus or Buffets (604)",604,"IKEA North America Services, LLC",Ikea Galant Desk,598.387.52,,,,,Ikea,,,,Glass Table from Ikea suddenly exploded with no cause at 4:30 AM.  The debris from the explosion covered the entire room.  Luckily no one was in the room when it occurred or there would have been major injuries.,Morrow,Ohio,45152,Home/Apartment/Condominium,"Incident, No Injury",Unknown,Unspecified,,No,No,,,No,No,Yes,I will contact Ikea.,"(6/13/2012) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",20120525-5AD01-2147467270,"['Ikea Galant Desk', 'IKEA North America Services, LLC']","['30', 'AM.', '32', '66']",0
